ProjectID,Country,Description
1,India,Solar power plant installation with community training program
2,Brazil,Sustainable forestry management and biodiversity conservation
3,Kenya,Rural education and healthcare infrastructure development
4,China,Urban water treatment and waste management system
5,Mexico,Women entrepreneurship and microfinance program
6,Indonesia,Renewable energy grid expansion and policy reform
7,Nigeria,Agricultural modernization and farmer training initiative
8,Egypt,Public sector transparency and anti-corruption measures
9,Vietnam,Climate resilient infrastructure and flood prevention
10,Thailand,Digital governance and public service modernization
